202506210020
         lat         lon       gridj       gridi       p_lev        levm          tc          td      u_wind      v_wind      sp_hum
      30.813     104.425     124.220     157.765   90816.528     454.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90651.740     469.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90498.157     483.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90344.785     497.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90191.623     511.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90038.671     525.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89875.028     540.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89722.511     554.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89570.204     568.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89418.106     582.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89255.377     597.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89103.712     611.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88952.257     625.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88801.009     639.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88649.971     653.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88488.374     668.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88337.766     682.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88187.366     696.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88037.173     710.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87887.187     724.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87726.717     739.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87577.160     753.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87427.809     767.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87278.665     781.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87119.096     796.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86970.378     810.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86821.865     824.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86673.559     838.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86525.457     852.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86367.004     867.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86219.327     881.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86071.854     895.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85924.586     909.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85777.521     923.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85620.179     938.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85473.537     952.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
